filepath,label,split,source_label,is_silence,start_sample
D:\CVprojects\DL-Project\data\sheila\98170b49_nohash_0.wav,unknown,train,sheila,0,0
D:\CVprojects\DL-Project\data\zero\39a12648_nohash_3.wav,unknown,train,zero,0,0
D:\CVprojects\DL-Project\data\down\b4ea0d9a_nohash_3.wav,down,train,down,0,0
D:\CVprojects\DL-Project\data\_background_noise_\doing_the_dishes.wav,silence,train,_background_noise_,1,487809
D:\CVprojects\DL-Project\data\no\f798ac78_nohash_1.wav,no,train,no,0,0
D:\CVprojects\DL-Project\data\on\837f7378_nohash_1.wav,on,train,on,0,0
D:\CVprojects\DL-Project\data\left\8e523821_nohash_3.wav,left,train,left,0,0
D:\CVprojects\DL-Project\data\down\7211390b_nohash_4.wav,down,train,down,0,0
D:\CVprojects\DL-Project\data\right\71d0ded4_nohash_1.wav,right,train,right,0,0
D:\CVprojects\DL-Project\data\go\ea1f888c_nohash_0.wav,go,train,go,0,0
D:\CVprojects\DL-Project\data\no\18e910f4_nohash_0.wav,no,train,no,0,0
D:\CVprojects\DL-Project\data\bed\3eb8764c_nohash_0.wav,unknown,train,bed,0,0
D:\CVprojects\DL-Project\data\up\35d1b6ee_nohash_4.wav,up,train,up,0,0
D:\CVprojects\DL-Project\data\right\7211390b_nohash_1.wav,right,train,right,0,0
D:\CVprojects\DL-Project\data\five\c50f55b8_nohash_13.wav,unknown,train,five,0,0
D:\CVprojects\DL-Project\data\on\e6327279_nohash_2.wav,on,train,on,0,0
D:\CVprojects\DL-Project\data\left\88053e92_nohash_0.wav,left,train,left,0,0
D:\CVprojects\DL-Project\data\marvin\ad1429cf_nohash_0.wav,unknown,train,marvin,0,0
D:\CVprojects\DL-Project\data\off\c68cf200_nohash_0.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\no\1eddce1d_nohash_1.wav,no,train,no,0,0
D:\CVprojects\DL-Project\data\no\74241b28_nohash_3.wav,no,train,no,0,0
D:\CVprojects\DL-Project\data\off\da584bc0_nohash_0.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\_background_noise_\pink_noise.wav,silence,train,_background_noise_,1,341183
D:\CVprojects\DL-Project\data\right\fc3ba625_nohash_1.wav,right,train,right,0,0
D:\CVprojects\DL-Project\data\off\de89e2ca_nohash_5.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\on\ad1429cf_nohash_0.wav,on,train,on,0,0
D:\CVprojects\DL-Project\data\backward\fbb2f6cc_nohash_3.wav,unknown,train,backward,0,0
D:\CVprojects\DL-Project\data\down\144d27ff_nohash_0.wav,down,train,down,0,0
D:\CVprojects\DL-Project\data\one\9448c397_nohash_1.wav,unknown,train,one,0,0
D:\CVprojects\DL-Project\data\on\c0cb43d6_nohash_0.wav,on,train,on,0,0
D:\CVprojects\DL-Project\data\stop\0d6d7360_nohash_1.wav,stop,train,stop,0,0
D:\CVprojects\DL-Project\data\left\ffd2ba2f_nohash_0.wav,left,train,left,0,0
D:\CVprojects\DL-Project\data\down\7cbf645a_nohash_0.wav,down,train,down,0,0
D:\CVprojects\DL-Project\data\right\2be08ce4_nohash_0.wav,right,train,right,0,0
D:\CVprojects\DL-Project\data\zero\9a4d12fd_nohash_0.wav,unknown,train,zero,0,0
D:\CVprojects\DL-Project\data\left\06f6c194_nohash_1.wav,left,train,left,0,0
D:\CVprojects\DL-Project\data\_background_noise_\white_noise.wav,silence,train,_background_noise_,1,654319
D:\CVprojects\DL-Project\data\right\b80d6c5e_nohash_0.wav,right,train,right,0,0
D:\CVprojects\DL-Project\data\no\a13e0a74_nohash_0.wav,no,train,no,0,0
D:\CVprojects\DL-Project\data\six\3ce4910e_nohash_2.wav,unknown,train,six,0,0
D:\CVprojects\DL-Project\data\happy\ba59cab3_nohash_0.wav,unknown,train,happy,0,0
D:\CVprojects\DL-Project\data\yes\32561e9e_nohash_1.wav,yes,train,yes,0,0
D:\CVprojects\DL-Project\data\bird\638548d5_nohash_0.wav,unknown,train,bird,0,0
D:\CVprojects\DL-Project\data\yes\c1d39ce8_nohash_7.wav,yes,train,yes,0,0
D:\CVprojects\DL-Project\data\bed\5ebc1cda_nohash_0.wav,unknown,train,bed,0,0
D:\CVprojects\DL-Project\data\down\a91075ea_nohash_0.wav,down,train,down,0,0
D:\CVprojects\DL-Project\data\_background_noise_\pink_noise.wav,silence,train,_background_noise_,1,103540
D:\CVprojects\DL-Project\data\one\5f5eef60_nohash_2.wav,unknown,train,one,0,0
D:\CVprojects\DL-Project\data\up\a05a90c1_nohash_4.wav,up,train,up,0,0
D:\CVprojects\DL-Project\data\no\f5341341_nohash_4.wav,no,train,no,0,0
D:\CVprojects\DL-Project\data\yes\20fd451f_nohash_2.wav,yes,train,yes,0,0
D:\CVprojects\DL-Project\data\down\1d919a90_nohash_0.wav,down,train,down,0,0
D:\CVprojects\DL-Project\data\on\617aeb6c_nohash_2.wav,on,train,on,0,0
D:\CVprojects\DL-Project\data\no\69a1a79f_nohash_2.wav,no,train,no,0,0
D:\CVprojects\DL-Project\data\on\1a994c9f_nohash_0.wav,on,train,on,0,0
D:\CVprojects\DL-Project\data\up\7ff4fc72_nohash_0.wav,up,train,up,0,0
D:\CVprojects\DL-Project\data\yes\3d9bbe2d_nohash_1.wav,yes,train,yes,0,0
D:\CVprojects\DL-Project\data\no\541e4079_nohash_0.wav,no,train,no,0,0
D:\CVprojects\DL-Project\data\seven\b0f5b16d_nohash_3.wav,unknown,train,seven,0,0
D:\CVprojects\DL-Project\data\yes\ec545975_nohash_2.wav,yes,train,yes,0,0
D:\CVprojects\DL-Project\data\_background_noise_\pink_noise.wav,silence,train,_background_noise_,1,83902
D:\CVprojects\DL-Project\data\yes\40738a2d_nohash_4.wav,yes,train,yes,0,0
D:\CVprojects\DL-Project\data\one\a1cf7fd8_nohash_1.wav,unknown,train,one,0,0
D:\CVprojects\DL-Project\data\yes\02ade946_nohash_4.wav,yes,train,yes,0,0
D:\CVprojects\DL-Project\data\down\fad7a69a_nohash_0.wav,down,train,down,0,0
D:\CVprojects\DL-Project\data\right\e3b64217_nohash_1.wav,right,train,right,0,0
D:\CVprojects\DL-Project\data\no\20fd451f_nohash_0.wav,no,train,no,0,0
D:\CVprojects\DL-Project\data\on\c1e0e8e3_nohash_2.wav,on,train,on,0,0
D:\CVprojects\DL-Project\data\_background_noise_\white_noise.wav,silence,train,_background_noise_,1,633790
D:\CVprojects\DL-Project\data\_background_noise_\dude_miaowing.wav,silence,train,_background_noise_,1,565509
D:\CVprojects\DL-Project\data\up\6969e51a_nohash_0.wav,up,train,up,0,0
D:\CVprojects\DL-Project\data\left\c0445658_nohash_1.wav,left,train,left,0,0
D:\CVprojects\DL-Project\data\stop\7846fd85_nohash_0.wav,stop,train,stop,0,0
D:\CVprojects\DL-Project\data\no\38d78313_nohash_2.wav,no,train,no,0,0
D:\CVprojects\DL-Project\data\down\a7acbbeb_nohash_4.wav,down,train,down,0,0
D:\CVprojects\DL-Project\data\_background_noise_\white_noise.wav,silence,train,_background_noise_,1,581230
D:\CVprojects\DL-Project\data\on\24c9f572_nohash_1.wav,on,train,on,0,0
D:\CVprojects\DL-Project\data\_background_noise_\doing_the_dishes.wav,silence,train,_background_noise_,1,116029
D:\CVprojects\DL-Project\data\five\a84dee7b_nohash_0.wav,unknown,train,five,0,0
D:\CVprojects\DL-Project\data\off\656e8bb3_nohash_0.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\left\65c73b55_nohash_1.wav,left,train,left,0,0
D:\CVprojects\DL-Project\data\_background_noise_\pink_noise.wav,silence,train,_background_noise_,1,801123
D:\CVprojects\DL-Project\data\off\d8ed3745_nohash_0.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\on\ddedba85_nohash_10.wav,on,train,on,0,0
D:\CVprojects\DL-Project\data\cat\518588b6_nohash_1.wav,unknown,train,cat,0,0
D:\CVprojects\DL-Project\data\stop\7c83c5f6_nohash_3.wav,stop,train,stop,0,0
D:\CVprojects\DL-Project\data\stop\2fcb6397_nohash_2.wav,stop,train,stop,0,0
D:\CVprojects\DL-Project\data\stop\01b4757a_nohash_1.wav,stop,train,stop,0,0
D:\CVprojects\DL-Project\data\up\f632210f_nohash_0.wav,up,train,up,0,0
D:\CVprojects\DL-Project\data\no\03c96658_nohash_0.wav,no,train,no,0,0
D:\CVprojects\DL-Project\data\on\eb609143_nohash_1.wav,on,train,on,0,0
D:\CVprojects\DL-Project\data\right\f1d8a638_nohash_0.wav,right,train,right,0,0
D:\CVprojects\DL-Project\data\no\ffd2ba2f_nohash_0.wav,no,train,no,0,0
D:\CVprojects\DL-Project\data\one\ea0cf37f_nohash_0.wav,unknown,train,one,0,0
D:\CVprojects\DL-Project\data\five\a902ce9b_nohash_0.wav,unknown,train,five,0,0
D:\CVprojects\DL-Project\data\right\462dca36_nohash_0.wav,right,train,right,0,0
D:\CVprojects\DL-Project\data\yes\fbb2f6cc_nohash_0.wav,yes,train,yes,0,0
D:\CVprojects\DL-Project\data\right\559bc36a_nohash_1.wav,right,train,right,0,0
D:\CVprojects\DL-Project\data\go\012187a4_nohash_1.wav,go,train,go,0,0
D:\CVprojects\DL-Project\data\visual\fbb56351_nohash_0.wav,unknown,train,visual,0,0
D:\CVprojects\DL-Project\data\right\2313e093_nohash_0.wav,right,train,right,0,0
D:\CVprojects\DL-Project\data\on\29229c21_nohash_2.wav,on,train,on,0,0
D:\CVprojects\DL-Project\data\off\a584bab4_nohash_0.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\no\72242187_nohash_2.wav,no,train,no,0,0
D:\CVprojects\DL-Project\data\one\050170cb_nohash_3.wav,unknown,train,one,0,0
D:\CVprojects\DL-Project\data\_background_noise_\doing_the_dishes.wav,silence,train,_background_noise_,1,571797
D:\CVprojects\DL-Project\data\two\0f7266cf_nohash_1.wav,unknown,train,two,0,0
D:\CVprojects\DL-Project\data\stop\f33660af_nohash_0.wav,stop,train,stop,0,0
D:\CVprojects\DL-Project\data\no\c8db14a8_nohash_0.wav,no,train,no,0,0
D:\CVprojects\DL-Project\data\five\ff21fb59_nohash_0.wav,unknown,train,five,0,0
D:\CVprojects\DL-Project\data\go\bd76a7fd_nohash_0.wav,go,train,go,0,0
D:\CVprojects\DL-Project\data\off\1a994c9f_nohash_3.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\off\c885a039_nohash_0.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\off\5e3b7a84_nohash_1.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\happy\1e31353f_nohash_1.wav,unknown,train,happy,0,0
D:\CVprojects\DL-Project\data\up\96a48d28_nohash_1.wav,up,train,up,0,0
D:\CVprojects\DL-Project\data\seven\d9b50b8b_nohash_0.wav,unknown,train,seven,0,0
D:\CVprojects\DL-Project\data\left\551e42e8_nohash_0.wav,left,train,left,0,0
D:\CVprojects\DL-Project\data\up\fa57ab3b_nohash_1.wav,up,train,up,0,0
D:\CVprojects\DL-Project\data\seven\9e075bf1_nohash_1.wav,unknown,train,seven,0,0
D:\CVprojects\DL-Project\data\off\f575faf3_nohash_3.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\down\44dad20e_nohash_0.wav,down,train,down,0,0
D:\CVprojects\DL-Project\data\up\ea0cf37f_nohash_3.wav,up,train,up,0,0
D:\CVprojects\DL-Project\data\visual\ad526ada_nohash_0.wav,unknown,train,visual,0,0
D:\CVprojects\DL-Project\data\off\de3fe344_nohash_2.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\on\ee23b031_nohash_0.wav,on,train,on,0,0
D:\CVprojects\DL-Project\data\five\88120683_nohash_0.wav,unknown,train,five,0,0
D:\CVprojects\DL-Project\data\two\ac9dee0e_nohash_2.wav,unknown,train,two,0,0
D:\CVprojects\DL-Project\data\two\5cf1ecce_nohash_1.wav,unknown,train,two,0,0
D:\CVprojects\DL-Project\data\no\f19c1390_nohash_4.wav,no,train,no,0,0
D:\CVprojects\DL-Project\data\seven\3402e488_nohash_2.wav,unknown,train,seven,0,0
D:\CVprojects\DL-Project\data\no\16d41d07_nohash_0.wav,no,train,no,0,0
D:\CVprojects\DL-Project\data\off\73124b26_nohash_0.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\up\332d33b1_nohash_2.wav,up,train,up,0,0
D:\CVprojects\DL-Project\data\down\735845ab_nohash_3.wav,down,train,down,0,0
D:\CVprojects\DL-Project\data\down\f638a812_nohash_1.wav,down,train,down,0,0
D:\CVprojects\DL-Project\data\down\7fb8d703_nohash_2.wav,down,train,down,0,0
D:\CVprojects\DL-Project\data\down\30060aba_nohash_1.wav,down,train,down,0,0
D:\CVprojects\DL-Project\data\go\ab46af55_nohash_5.wav,go,train,go,0,0
D:\CVprojects\DL-Project\data\stop\ad1429cf_nohash_1.wav,stop,train,stop,0,0
D:\CVprojects\DL-Project\data\yes\902258bb_nohash_0.wav,yes,train,yes,0,0
D:\CVprojects\DL-Project\data\on\ebdd0f59_nohash_2.wav,on,train,on,0,0
D:\CVprojects\DL-Project\data\right\e6515415_nohash_0.wav,right,train,right,0,0
D:\CVprojects\DL-Project\data\left\9ff2d2f4_nohash_0.wav,left,train,left,0,0
D:\CVprojects\DL-Project\data\up\70a00e98_nohash_0.wav,up,train,up,0,0
D:\CVprojects\DL-Project\data\two\a759efbc_nohash_0.wav,unknown,train,two,0,0
D:\CVprojects\DL-Project\data\_background_noise_\pink_noise.wav,silence,train,_background_noise_,1,915937
D:\CVprojects\DL-Project\data\left\55d3725a_nohash_0.wav,left,train,left,0,0
D:\CVprojects\DL-Project\data\one\1c84a139_nohash_3.wav,unknown,train,one,0,0
D:\CVprojects\DL-Project\data\three\91ffb786_nohash_0.wav,unknown,train,three,0,0
